--- Roles and Permissions ---
Role: Client | Perm: Get Governrate By Country Id (locations.getGovernrateByCountryId) | Module: Locations
Role: Client | Perm: Get Municipality By Governrate Id (locations.getMunicipalityByGovernrateId) | Module: Locations
Role: Client | Perm: Count Inbox Unread Messages By User (messages.countInboxUnreadMessagesByUser) | Module: Messages
Role: Client | Perm: Count Messages (messages.countMessages) | Module: Messages
Role: Client | Perm: Empty Trash (messages.emptyTrash) | Module: Messages
Role: Client | Perm: Get Last5 User Messages (messages.getLast5UserMessages) | Module: Messages
Role: Client | Perm: Get Message By Id (messages.getMessageById) | Module: Messages
Role: Client | Perm: Get Messages (messages.getMessages) | Module: Messages
Role: Client | Perm: Mark All Inbox Messages As Read (messages.markAllInboxMessagesAsRead) | Module: Messages
Role: Client | Perm: Mark Message As Read (messages.markMessageAsRead) | Module: Messages
Role: Client | Perm: Mark Message As Unread (messages.markMessageAsUnread) | Module: Messages
Role: Client | Perm: Move Message To Trash (messages.moveMessageToTrash) | Module: Messages
Role: Client | Perm: Restore Message (messages.restoreMessage) | Module: Messages
Role: Client | Perm: Send Message (messages.sendMessage) | Module: Messages
Role: Client | Perm: Send Message Contact (messages.sendMessageContact) | Module: Messages
Role: Client | Perm: Count All By User (notifications.countAllByUser) | Module: Notifications
Role: Client | Perm: Count Unread Notifications By User (notifications.countUnreadNotificationsByUser) | Module: Notifications
Role: Client | Perm: Find All Notification By User (notifications.findAllNotificationByUser) | Module: Notifications
Role: Client | Perm: Find Last5 Notification By User (notifications.findLast5NotificationByUser) | Module: Notifications
Role: Client | Perm: Mark All Notification As Read By Id (notifications.markAllNotificationAsReadById) | Module: Notifications
Role: Client | Perm: Mark Notification As Read By Id (notifications.markNotificationAsReadById) | Module: Notifications
Role: Client | Perm: Get Public Privacy Policy (privacy-policy.getPublicPrivacyPolicy) | Module: Privacy Policy
Role: Client | Perm: Get Provider (providers.getProvider) | Module: Providers
Role: Client | Perm: Get Provider By User Id (providers.getProviderByUserId) | Module: Providers
Role: Client | Perm: Track Provider Share (providers.trackProviderShare) | Module: Providers
Role: Client | Perm: Get Tag Options (tags.getTagOptions) | Module: Tags
Role: Client | Perm: Get Tags (tags.getTags) | Module: Tags
Role: Client | Perm: Get Tags By Category (tags.getTagsByCategory) | Module: Tags
Role: Client | Perm: Get Public Terms Conditions (terms-conditions.getPublicTermsConditions) | Module: Terms Conditions
Role: Client | Perm: Upload User Avatar (upload.uploadUserAvatar) | Module: Upload
Role: Client | Perm: Get My Profile (user.getMyProfile) | Module: User
Role: Client | Perm: Update My Profile (user.updateMyProfile) | Module: User
Role: Provider | Perm: Logout (auth.logout) | Module: Auth
Role: Provider | Perm: Add Blog Comment (blogs.addBlogComment) | Module: Blogs
Role: Provider | Perm: Check Blog Like (blogs.checkBlogLike) | Module: Blogs
Role: Provider | Perm: Create Blog Comment (blogs.createBlogComment) | Module: Blogs
Role: Provider | Perm: Create Blog Rating (blogs.createBlogRating) | Module: Blogs
Role: Provider | Perm: Edit Blog Comment (blogs.editBlogComment) | Module: Blogs
Role: Provider | Perm: Get Blog (blogs.getBlog) | Module: Blogs
Role: Provider | Perm: Get Blog Average Rating (blogs.getBlogAverageRating) | Module: Blogs
Role: Provider | Perm: Get Blog Comments (blogs.getBlogComments) | Module: Blogs
Role: Provider | Perm: Get Blog Details (blogs.getBlogDetails) | Module: Blogs
Role: Provider | Perm: Get Blogs (blogs.getBlogs) | Module: Blogs
Role: Provider | Perm: Get Related Blogs (blogs.getRelatedBlogs) | Module: Blogs
Role: Provider | Perm: Get User Rating For Blog (blogs.getUserRatingForBlog) | Module: Blogs
Role: Provider | Perm: Rate Blog (blogs.rateBlog) | Module: Blogs
Role: Provider | Perm: Search Blogs (blogs.searchBlogs) | Module: Blogs
Role: Provider | Perm: Toggle Blog Like (blogs.toggleBlogLike) | Module: Blogs
Role: Provider | Perm: Track Blog Share (blogs.trackBlogShare) | Module: Blogs
Role: Provider | Perm: Get All Categories (categories.getAllCategories) | Module: Categories
Role: Provider | Perm: Get Categories By Company (categories.getCategoriesByCompany) | Module: Categories
Role: Provider | Perm: Get Category By Id (categories.getCategoryById) | Module: Categories
Role: Provider | Perm: Get Main Categories (categories.getMainCategories) | Module: Categories
Role: Provider | Perm: Create Comment (comments.createComment) | Module: Comments
Role: Provider | Perm: Delete Comment (comments.deleteComment) | Module: Comments
Role: Provider | Perm: Get Comments (comments.getComments) | Module: Comments
Role: Provider | Perm: Update Comment (comments.updateComment) | Module: Comments
Role: Provider | Perm: Create Complex Event (events.createComplexEvent) | Module: Events
Role: Provider | Perm: Delete Event (events.deleteEvent) | Module: Events
Role: Provider | Perm: Get All Events (events.getAllEvents) | Module: Events
Role: Provider | Perm: Get Available Items (events.getAvailableItems) | Module: Events
Role: Provider | Perm: Update Complex Event (events.updateComplexEvent) | Module: Events
Role: Provider | Perm: Get F A Q (faq.getFAQ) | Module: Faq
Role: Provider | Perm: Get Public F A Qs (faq.getPublicFAQs) | Module: Faq
Role: Provider | Perm: Get Faq Sections (faq-sections.getFaqSections) | Module: Faq Sections
Role: Provider | Perm: Get Home Page Data (home.getHomePageData) | Module: Home
Role: Provider | Perm: Get Reactions (interactions.getReactions) | Module: Interactions
Role: Provider | Perm: Get User History (interactions.getUserHistory) | Module: Interactions
Role: Provider | Perm: Rate Target (interactions.rateTarget) | Module: Interactions
Role: Provider | Perm: Toggle Dislike (interactions.toggleDislike) | Module: Interactions
Role: Provider | Perm: Toggle Favorite (interactions.toggleFavorite) | Module: Interactions
Role: Provider | Perm: Toggle Like (interactions.toggleLike) | Module: Interactions
Role: Provider | Perm: Create Item (items.createItem) | Module: Items
Role: Provider | Perm: Create Item Media (items.createItemMedia) | Module: Items
Role: Provider | Perm: Delete Item (items.deleteItem) | Module: Items
Role: Provider | Perm: Delete Item Media (items.deleteItemMedia) | Module: Items
Role: Provider | Perm: Get All Items (items.getAllItems) | Module: Items
Role: Provider | Perm: Get Category Filters (items.getCategoryFilters) | Module: Items
Role: Provider | Perm: Get Interaction Stats (items.getInteractionStats) | Module: Items
Role: Provider | Perm: Get Item (items.getItem) | Module: Items
Role: Provider | Perm: Get Item Media By Item Id (items.getItemMediaByItemId) | Module: Items
Role: Provider | Perm: Get Public Item By Id (items.getPublicItemById) | Module: Items
Role: Provider | Perm: Get Public Items (items.getPublicItems) | Module: Items
Role: Provider | Perm: Track Item Share (items.trackItemShare) | Module: Items
Role: Provider | Perm: Update Item (items.updateItem) | Module: Items
Role: Provider | Perm: Get All Countries (locations.getAllCountries) | Module: Locations
Role: Provider | Perm: Get Governrate By Country Id (locations.getGovernrateByCountryId) | Module: Locations
Role: Provider | Perm: Get Municipality By Governrate Id (locations.getMunicipalityByGovernrateId) | Module: Locations
Role: Provider | Perm: Count Inbox Unread Messages By User (messages.countInboxUnreadMessagesByUser) | Module: Messages
Role: Provider | Perm: Count Messages (messages.countMessages) | Module: Messages
Role: Provider | Perm: Draft To Send (messages.draftToSend) | Module: Messages
Role: Provider | Perm: Empty Trash (messages.emptyTrash) | Module: Messages
Role: Provider | Perm: Get Last5 User Messages (messages.getLast5UserMessages) | Module: Messages
Role: Provider | Perm: Get Message By Id (messages.getMessageById) | Module: Messages
Role: Provider | Perm: Get Messages (messages.getMessages) | Module: Messages
Role: Provider | Perm: Mark All Inbox Messages As Read (messages.markAllInboxMessagesAsRead) | Module: Messages
Role: Provider | Perm: Mark Message As Read (messages.markMessageAsRead) | Module: Messages
Role: Provider | Perm: Mark Message As Unread (messages.markMessageAsUnread) | Module: Messages
Role: Provider | Perm: Move Message To Trash (messages.moveMessageToTrash) | Module: Messages
Role: Provider | Perm: Restore Message (messages.restoreMessage) | Module: Messages
Role: Provider | Perm: Save Draft (messages.saveDraft) | Module: Messages
Role: Provider | Perm: Send Message (messages.sendMessage) | Module: Messages
Role: Provider | Perm: Send Message Intern (messages.sendMessageIntern) | Module: Messages
Role: Provider | Perm: Count All By User (notifications.countAllByUser) | Module: Notifications
Role: Provider | Perm: Count Unread Notifications By User (notifications.countUnreadNotificationsByUser) | Module: Notifications
Role: Provider | Perm: Find All Notification By User (notifications.findAllNotificationByUser) | Module: Notifications
Role: Provider | Perm: Find Last5 Notification By User (notifications.findLast5NotificationByUser) | Module: Notifications
Role: Provider | Perm: Mark All Notification As Read By Id (notifications.markAllNotificationAsReadById) | Module: Notifications
Role: Provider | Perm: Mark Notification As Read By Id (notifications.markNotificationAsReadById) | Module: Notifications
Role: Provider | Perm: Mark Notification As Unread By Id (notifications.markNotificationAsUnreadById) | Module: Notifications
Role: Provider | Perm: Get Privacy Policies (privacy-policy.getPrivacyPolicies) | Module: Privacy Policy
Role: Provider | Perm: Get Public Privacy Policy (privacy-policy.getPublicPrivacyPolicy) | Module: Privacy Policy
Role: Provider | Perm: Get Provider (providers.getProvider) | Module: Providers
Role: Provider | Perm: Get Provider By User Id (providers.getProviderByUserId) | Module: Providers
Role: Provider | Perm: Track Provider Share (providers.trackProviderShare) | Module: Providers
Role: Provider | Perm: Update Exceptions (providers.updateExceptions) | Module: Providers
Role: Provider | Perm: Update Opening Hours (providers.updateOpeningHours) | Module: Providers
Role: Provider | Perm: Get Tag Options (tags.getTagOptions) | Module: Tags
Role: Provider | Perm: Get Tags (tags.getTags) | Module: Tags
Role: Provider | Perm: Get Tags By Category (tags.getTagsByCategory) | Module: Tags
Role: Provider | Perm: Get Public Terms Conditions (terms-conditions.getPublicTermsConditions) | Module: Terms Conditions
Role: Provider | Perm: Get Terms Conditions (terms-conditions.getTermsConditions) | Module: Terms Conditions
Role: Provider | Perm: Upload Provider Logo (upload.uploadProviderLogo) | Module: Upload
Role: Provider | Perm: Upload User Avatar (upload.uploadUserAvatar) | Module: Upload
Role: Provider | Perm: Get My Profile (user.getMyProfile) | Module: User
Role: Provider | Perm: Get Roles (user.getRoles) | Module: User
Role: Provider | Perm: Update My Profile (user.updateMyProfile) | Module: User
Role: Root | Perm: Create App Setting (app-settings.createAppSetting) | Module: App Settings
Role: Root | Perm: Delete App Setting (app-settings.deleteAppSetting) | Module: App Settings
Role: Root | Perm: Get App Settings By Famille (app-settings.getAppSettingsByFamille) | Module: App Settings
Role: Root | Perm: Update App Setting (app-settings.updateAppSetting) | Module: App Settings
Role: Root | Perm: Login (auth.login) | Module: Auth
Role: Root | Perm: Logout (auth.logout) | Module: Auth
Role: Root | Perm: New Password (auth.newPassword) | Module: Auth
Role: Root | Perm: Register (auth.register) | Module: Auth
Role: Root | Perm: Resend Verification (auth.resendVerification) | Module: Auth
Role: Root | Perm: Reset Password (auth.resetPassword) | Module: Auth
Role: Root | Perm: Verify Email (auth.verifyEmail) | Module: Auth
Role: Root | Perm: Add Blog Comment (blogs.addBlogComment) | Module: Blogs
Role: Root | Perm: Check Blog Like (blogs.checkBlogLike) | Module: Blogs
Role: Root | Perm: Create Blog (blogs.createBlog) | Module: Blogs
Role: Root | Perm: Create Blog Comment (blogs.createBlogComment) | Module: Blogs
Role: Root | Perm: Create Blog Rating (blogs.createBlogRating) | Module: Blogs
Role: Root | Perm: Delete Blog (blogs.deleteBlog) | Module: Blogs
Role: Root | Perm: Delete Blog Comment (blogs.deleteBlogComment) | Module: Blogs
Role: Root | Perm: Delete Blog Media (blogs.deleteBlogMedia) | Module: Blogs
Role: Root | Perm: Edit Blog Comment (blogs.editBlogComment) | Module: Blogs
Role: Root | Perm: Get Blog (blogs.getBlog) | Module: Blogs
Role: Root | Perm: Get Blog Average Rating (blogs.getBlogAverageRating) | Module: Blogs
Role: Root | Perm: Get Blog Comments (blogs.getBlogComments) | Module: Blogs
